Seed,Enrichissement,Ratio Test,Accuracy
0,10,0.3,0.8333333333333334
0,10,0.4,0.84375
0,10,0.5,0.875
0,20,0.3,0.8541666666666666
0,20,0.4,0.9375
0,20,0.5,0.775
0,30,0.3,0.7916666666666666
0,30,0.4,0.921875
0,30,0.5,0.85
1,10,0.3,0.9375
1,10,0.4,0.859375
1,10,0.5,0.8375
1,20,0.3,0.875
1,20,0.4,0.890625
1,20,0.5,0.875
1,30,0.3,0.7291666666666666
1,30,0.4,0.78125
1,30,0.5,0.8125
2,10,0.3,0.7083333333333334
2,10,0.4,0.859375
2,10,0.5,0.775
2,20,0.3,0.8541666666666666
2,20,0.4,0.78125
2,20,0.5,0.8875
2,30,0.3,0.8333333333333334
2,30,0.4,0.875
2,30,0.5,0.8125
3,10,0.3,0.8125
3,10,0.4,0.859375
3,10,0.5,0.875
3,20,0.3,0.8541666666666666
3,20,0.4,0.828125
3,20,0.5,0.925
3,30,0.3,0.8541666666666666
3,30,0.4,0.890625
3,30,0.5,0.9125
4,10,0.3,0.875
4,10,0.4,0.875
4,10,0.5,0.775
4,20,0.3,0.7708333333333334
4,20,0.4,0.84375
4,20,0.5,0.875
4,30,0.3,0.8958333333333334
4,30,0.4,0.828125
4,30,0.5,0.8375
5,10,0.3,0.875
5,10,0.4,0.890625
5,10,0.5,0.8625
5,20,0.3,0.8333333333333334
5,20,0.4,0.921875
5,20,0.5,0.8625
5,30,0.3,0.8333333333333334
5,30,0.4,0.859375
5,30,0.5,0.8125
6,10,0.3,0.8125
6,10,0.4,0.859375
6,10,0.5,0.8125
6,20,0.3,0.8541666666666666
6,20,0.4,0.84375
6,20,0.5,0.85
6,30,0.3,0.7916666666666666
6,30,0.4,0.890625
6,30,0.5,0.8625
7,10,0.3,0.9375
7,10,0.4,0.90625
7,10,0.5,0.8125
7,20,0.3,0.9583333333333334
7,20,0.4,0.796875
7,20,0.5,0.825
7,30,0.3,0.9166666666666666
7,30,0.4,0.90625
7,30,0.5,0.825
8,10,0.3,0.875
8,10,0.4,0.859375
8,10,0.5,0.825
8,20,0.3,0.7083333333333334
8,20,0.4,0.796875
8,20,0.5,0.8875
8,30,0.3,0.7916666666666666
8,30,0.4,0.921875
8,30,0.5,0.85
9,10,0.3,0.8958333333333334
9,10,0.4,0.78125
9,10,0.5,0.825
9,20,0.3,0.8958333333333334
9,20,0.4,0.75
9,20,0.5,0.85
9,30,0.3,0.9166666666666666
9,30,0.4,0.875
9,30,0.5,0.8375
