Seed,Ratio Test,K,Accuracy
0,0.1,3,0.6875
0,0.1,5,0.6875
0,0.1,7,0.75
0,0.2,3,0.6875
0,0.2,5,0.75
0,0.2,7,0.75
0,0.3,3,0.7291666666666666
0,0.3,5,0.7083333333333334
0,0.3,7,0.6875
1,0.1,3,0.6875
1,0.1,5,0.6875
1,0.1,7,0.6875
1,0.2,3,0.75
1,0.2,5,0.75
1,0.2,7,0.78125
1,0.3,3,0.75
1,0.3,5,0.6458333333333334
1,0.3,7,0.625
2,0.1,3,0.8125
2,0.1,5,0.8125
2,0.1,7,0.75
2,0.2,3,0.71875
2,0.2,5,0.8125
2,0.2,7,0.6875
2,0.3,3,0.6875
2,0.3,5,0.6458333333333334
2,0.3,7,0.6041666666666666
3,0.1,3,0.625
3,0.1,5,0.625
3,0.1,7,0.625
3,0.2,3,0.6875
3,0.2,5,0.71875
3,0.2,7,0.71875
3,0.3,3,0.6875
3,0.3,5,0.6666666666666666
3,0.3,7,0.625
4,0.1,3,0.625
4,0.1,5,0.6875
4,0.1,7,0.625
4,0.2,3,0.65625
4,0.2,5,0.6875
4,0.2,7,0.6875
4,0.3,3,0.7083333333333334
4,0.3,5,0.6666666666666666
4,0.3,7,0.6666666666666666
5,0.1,3,0.8125
5,0.1,5,0.75
5,0.1,7,0.6875
5,0.2,3,0.78125
5,0.2,5,0.6875
5,0.2,7,0.625
5,0.3,3,0.6666666666666666
5,0.3,5,0.7291666666666666
5,0.3,7,0.6875
6,0.1,3,0.6875
6,0.1,5,0.75
6,0.1,7,0.75
6,0.2,3,0.75
6,0.2,5,0.78125
6,0.2,7,0.8125
6,0.3,3,0.75
6,0.3,5,0.75
6,0.3,7,0.6875
7,0.1,3,0.625
7,0.1,5,0.6875
7,0.1,7,0.625
7,0.2,3,0.65625
7,0.2,5,0.625
7,0.2,7,0.625
7,0.3,3,0.7291666666666666
7,0.3,5,0.7083333333333334
7,0.3,7,0.6875
8,0.1,3,0.5625
8,0.1,5,0.625
8,0.1,7,0.625
8,0.2,3,0.5625
8,0.2,5,0.625
8,0.2,7,0.65625
8,0.3,3,0.5833333333333334
8,0.3,5,0.6458333333333334
8,0.3,7,0.625
9,0.1,3,0.875
