Seed,Ratio Test,K,Accuracy
0,0.1,3,0.8125
0,0.1,5,0.8125
0,0.1,7,0.8125
0,0.2,3,0.65625
0,0.2,5,0.65625
0,0.2,7,0.625
0,0.25,3,0.675
0,0.25,5,0.675
0,0.25,7,0.65
0,0.3,3,0.7291666666666666
0,0.3,5,0.7083333333333334
0,0.3,7,0.7083333333333334
1,0.1,3,0.25
1,0.1,5,0.3125
1,0.1,7,0.3125
1,0.2,3,0.4375
1,0.2,5,0.40625
1,0.2,7,0.46875
1,0.25,3,0.5
1,0.25,5,0.475
1,0.25,7,0.525
1,0.3,3,0.5
1,0.3,5,0.5208333333333334
1,0.3,7,0.5416666666666666
2,0.1,3,0.6875
2,0.1,5,0.75
2,0.1,7,0.75
2,0.2,3,0.71875
2,0.2,5,0.71875
2,0.2,7,0.75
2,0.25,3,0.625
2,0.25,5,0.65
2,0.25,7,0.675
2,0.3,3,0.625
2,0.3,5,0.625
2,0.3,7,0.6875
3,0.1,3,0.6875
3,0.1,5,0.6875
3,0.1,7,0.6875
3,0.2,3,0.71875
3,0.2,5,0.71875
3,0.2,7,0.75
3,0.25,3,0.675
3,0.25,5,0.7
3,0.25,7,0.7
3,0.3,3,0.6875
3,0.3,5,0.6875
3,0.3,7,0.6875
4,0.1,3,0.4375
4,0.1,5,0.5625
4,0.1,7,0.6875
4,0.2,3,0.59375
4,0.2,5,0.5625
4,0.2,7,0.625
4,0.25,3,0.675
4,0.25,5,0.625
4,0.25,7,0.65
4,0.3,3,0.6666666666666666
4,0.3,5,0.6666666666666666
4,0.3,7,0.6458333333333334
5,0.1,3,0.6875
5,0.1,5,0.8125
5,0.1,7,0.8125
5,0.2,3,0.71875
5,0.2,5,0.75
5,0.2,7,0.78125
5,0.25,3,0.675
5,0.25,5,0.7
5,0.25,7,0.725
5,0.3,3,0.6666666666666666
5,0.3,5,0.7083333333333334
5,0.3,7,0.7291666666666666
6,0.1,3,0.4375
6,0.1,5,0.5625
6,0.1,7,0.5625
6,0.2,3,0.53125
6,0.2,5,0.5
6,0.2,7,0.5625
6,0.25,3,0.55
6,0.25,5,0.55
6,0.25,7,0.625
6,0.3,3,0.6458333333333334
6,0.3,5,0.5625
6,0.3,7,0.6458333333333334
7,0.1,3,0.5
7,0.1,5,0.5625
7,0.1,7,0.5
7,0.2,3,0.59375
7,0.2,5,0.65625
7,0.2,7,0.65625
7,0.25,3,0.6
7,0.25,5,0.675
7,0.25,7,0.675
7,0.3,3,0.625
7,0.3,5,0.6666666666666666
7,0.3,7,0.7291666666666666
8,0.1,3,0.625
8,0.1,5,0.625
8,0.1,7,0.6875
8,0.2,3,0.5625
8,0.2,5,0.59375
8,0.2,7,0.625
8,0.25,3,0.625
8,0.25,5,0.625
8,0.25,7,0.65
8,0.3,3,0.625
8,0.3,5,0.6458333333333334
8,0.3,7,0.6875
9,0.1,3,0.5
9,0.1,5,0.5625
9,0.1,7,0.5
9,0.2,3,0.625
9,0.2,5,0.625
9,0.2,7,0.625
9,0.25,3,0.6
9,0.25,5,0.6
9,0.25,7,0.6
9,0.3,3,0.6041666666666666
9,0.3,5,0.5833333333333334
9,0.3,7,0.5833333333333334
10,0.1,3,0.6875
10,0.1,5,0.6875
10,0.1,7,0.75
10,0.2,3,0.625
10,0.2,5,0.65625
10,0.2,7,0.6875
10,0.25,3,0.65
10,0.25,5,0.675
10,0.25,7,0.7
10,0.3,3,0.6458333333333334
10,0.3,5,0.7291666666666666
10,0.3,7,0.7291666666666666
11,0.1,3,0.5
11,0.1,5,0.6875
11,0.1,7,0.625
11,0.2,3,0.5625
11,0.2,5,0.625
11,0.2,7,0.59375
11,0.25,3,0.625
11,0.25,5,0.7
11,0.25,7,0.65
11,0.3,3,0.6458333333333334
11,0.3,5,0.7083333333333334
11,0.3,7,0.6875
12,0.1,3,0.4375
12,0.1,5,0.5
12,0.1,7,0.4375
12,0.2,3,0.5625
12,0.2,5,0.625
12,0.2,7,0.5625
12,0.25,3,0.6
12,0.25,5,0.675
12,0.25,7,0.6
12,0.3,3,0.5833333333333334
12,0.3,5,0.6666666666666666
12,0.3,7,0.5833333333333334
13,0.1,3,0.1875
13,0.1,5,0.5625
13,0.1,7,0.5
13,0.2,3,0.5
13,0.2,5,0.59375
13,0.2,7,0.625
13,0.25,3,0.5
13,0.25,5,0.55
13,0.25,7,0.65
13,0.3,3,0.5416666666666666
13,0.3,5,0.5833333333333334
13,0.3,7,0.6666666666666666
14,0.1,3,0.5625
14,0.1,5,0.625
14,0.1,7,0.5625
14,0.2,3,0.53125
14,0.2,5,0.5625
14,0.2,7,0.59375
14,0.25,3,0.575
14,0.25,5,0.65
14,0.25,7,0.65
14,0.3,3,0.6041666666666666
14,0.3,5,0.625
14,0.3,7,0.6041666666666666
15,0.1,3,0.6875
15,0.1,5,0.6875
15,0.1,7,0.6875
15,0.2,3,0.59375
15,0.2,5,0.625
15,0.2,7,0.6875
15,0.25,3,0.65
15,0.25,5,0.65
15,0.25,7,0.7
15,0.3,3,0.6041666666666666
15,0.3,5,0.625
15,0.3,7,0.6458333333333334
16,0.1,3,0.5625
16,0.1,5,0.375
16,0.1,7,0.5
16,0.2,3,0.5625
16,0.2,5,0.5625
16,0.2,7,0.625
16,0.25,3,0.525
16,0.25,5,0.6
16,0.25,7,0.625
16,0.3,3,0.5416666666666666
16,0.3,5,0.6041666666666666
16,0.3,7,0.625
17,0.1,3,0.6875
17,0.1,5,0.6875
17,0.1,7,0.5625
17,0.2,3,0.53125
17,0.2,5,0.625
17,0.2,7,0.625
17,0.25,3,0.6
17,0.25,5,0.625
17,0.25,7,0.625
17,0.3,3,0.6041666666666666
17,0.3,5,0.6458333333333334
17,0.3,7,0.6458333333333334
18,0.1,3,0.5625
18,0.1,5,0.5
18,0.1,7,0.5625
18,0.2,3,0.65625
18,0.2,5,0.625
18,0.2,7,0.59375
18,0.25,3,0.575
18,0.25,5,0.575
18,0.25,7,0.625
18,0.3,3,0.625
18,0.3,5,0.6041666666666666
18,0.3,7,0.6458333333333334
19,0.1,3,0.75
19,0.1,5,0.625
19,0.1,7,0.6875
19,0.2,3,0.65625
19,0.2,5,0.65625
19,0.2,7,0.6875
19,0.25,3,0.6
19,0.25,5,0.6
19,0.25,7,0.675
19,0.3,3,0.6458333333333334
19,0.3,5,0.6458333333333334
19,0.3,7,0.6458333333333334
20,0.1,3,0.75
20,0.1,5,0.75
20,0.1,7,0.875
20,0.2,3,0.65625
20,0.2,5,0.71875
20,0.2,7,0.75
